t,truth_x,truth_y,truth_yaw,est_x,est_y,est_yaw
0.0,-8.0573,2.3152,-1.7491,0.0,0.0,0.0264
0.05,-8.0573,2.3152,-1.7481,-0.0,0.0,0.0325
0.101,-8.0576,2.3131,-1.7158,0.0014,0.0001,0.0692
0.151,-8.0579,2.3108,-1.6906,0.0032,0.0003,0.0891
0.203,-8.0582,2.3084,-1.6654,0.0073,0.0008,0.1252
0.253,-8.0585,2.3048,-1.6276,0.0102,0.0012,0.1486
0.304,-8.0586,2.3024,-1.6024,0.0147,0.0019,0.1847
0.354,-8.0586,2.2988,-1.5646,0.0179,0.0025,0.21
0.404,-8.0586,2.2964,-1.5394,0.0223,0.0035,0.2462
0.454,-8.0584,2.2928,-1.5016,0.0255,0.0043,0.2715
0.504,-8.0582,2.2905,-1.4764,0.0301,0.0057,0.3094
0.555,-8.058,2.2881,-1.4512,0.0325,0.0064,0.3293
0.605,-8.0575,2.2845,-1.4134,0.0368,0.008,0.3654
0.655,-8.0571,2.2822,-1.3882,0.0398,0.0091,0.3907
0.705,-8.0564,2.2786,-1.3504,0.044,0.0109,0.4267
0.756,-8.0558,2.2763,-1.3252,0.0466,0.0121,0.4502
0.806,-8.0552,2.274,-1.3,0.0507,0.0142,0.4864
0.856,-8.0542,2.2706,-1.2622,0.0535,0.0157,0.5117
0.906,-8.0534,2.2683,-1.237,0.0577,0.018,0.5496
0.956,-8.0522,2.2649,-1.1992,0.0604,0.0197,0.5749
1.007,-8.0513,2.2627,-1.174,0.0638,0.022,0.6075
1.057,-8.0503,2.2605,-1.1488,0.0662,0.0237,0.6309
1.107,-8.0488,2.2572,-1.111,0.0698,0.0264,0.667
1.157,-8.0477,2.2551,-1.0858,0.0721,0.0282,0.6904
1.207,-8.0466,2.253,-1.0606,0.0756,0.0311,0.7266
1.258,-8.0448,2.2499,-1.0228,0.0791,0.0343,0.7645
1.308,-8.0435,2.2479,-0.9975,0.0814,0.0365,0.7899
1.358,-8.0414,2.2448,-0.9592,0.0836,0.0388,0.8155
1.408,-8.04,2.2427,-0.9333,0.0863,0.0418,0.8488
1.459,-8.0384,2.2407,-0.907,0.0883,0.044,0.8733
1.509,-8.0358,2.2375,-0.8668,0.0911,0.0475,0.9117
1.559,-8.0339,2.2353,-0.8395,0.0939,0.0513,0.9508
1.609,-8.0306,2.2317,-0.7983,0.0959,0.0542,0.9783
1.659,-8.028,2.2292,-0.7704,0.0988,0.0588,1.0181
1.71,-8.0251,2.2264,-0.7424,0.1009,0.0624,1.0463
1.76,-8.0203,2.2221,-0.6995,0.104,0.0682,1.0894
1.81,-8.0167,2.2192,-0.6706,0.1056,0.0714,1.1122
1.86,-8.0107,2.2146,-0.6271,0.1086,0.078,1.1537
1.91,-8.0063,2.2115,-0.5982,0.1107,0.0828,1.1827
1.961,-8.0017,2.2084,-0.5693,0.1135,0.0904,1.2239
2.011,-7.9942,2.2037,-0.5261,0.1153,0.0956,1.2506
2.061,-7.9888,2.2007,-0.4974,0.1179,0.104,1.2915
2.111,-7.9803,2.1961,-0.4549,0.1195,0.1103,1.32
2.161,-7.9742,2.1931,-0.4268,0.1219,0.1203,1.3619
2.212,-7.968,2.1902,-0.3993,0.1232,0.1273,1.3892
2.262,-7.9578,2.186,-0.3597,0.1248,0.1367,1.4229
2.312,-7.9507,2.1834,-0.3351,0.1257,0.1437,1.4453
2.362,-7.9432,2.1808,-0.3129,0.127,0.1551,1.4762
2.413,-7.9316,2.1772,-0.2826,0.1276,0.1626,1.4947
2.463,-7.9236,2.175,-0.2644,0.1284,0.1746,1.5202
2.513,-7.9112,2.1718,-0.2406,0.1287,0.1832,1.536
2.563,-7.9028,2.1698,-0.2264,0.1291,0.1964,1.557
2.613,-7.8942,2.1679,-0.2138,0.1291,0.2054,1.5691
2.664,-7.8811,2.1651,-0.1973,0.1291,0.2171,1.5828
2.714,-7.8724,2.1634,-0.1875,0.129,0.2257,1.592
2.764,-7.8589,2.161,-0.1743,0.1286,0.239,1.6047
2.814,-7.8498,2.1594,-0.1663,0.1283,0.2484,1.6127
2.865,-7.8406,2.1579,-0.1589,0.1276,0.2621,1.6231
2.915,-7.8267,2.1557,-0.1488,0.1272,0.271,1.6295
2.965,-7.8172,2.1543,-0.1425,0.1263,0.2855,1.6389
3.015,-7.803,2.1524,-0.1341,0.1256,0.2952,1.6446
3.066,-7.7934,2.1511,-0.129,0.1246,0.3078,1.6513
3.116,-7.7837,2.1499,-0.1243,0.1238,0.3177,1.656
3.166,-7.7691,2.1481,-0.1177,0.1226,0.3318,1.6623
3.216,-7.7593,2.1469,-0.1137,0.1217,0.341,1.6662
3.266,-7.7445,2.1453,-0.1083,0.1204,0.3553,1.6714
3.317,-7.7345,2.1442,-0.105,0.1194,0.3646,1.6747
3.367,-7.7245,2.1432,-0.1017,0.1178,0.3797,1.6796
3.417,-7.7094,2.1417,-0.0969,0.1161,0.3948,1.6844
3.467,-7.6993,2.1407,-0.094,0.115,0.4049,1.6873
3.518,-7.684,2.1393,-0.0902,0.1141,0.4129,1.6894
3.568,-7.6738,2.1384,-0.0879,0.1123,0.4274,1.6928
3.618,-7.6636,2.1375,-0.0858,0.1112,0.4368,1.6947
3.668,-7.6482,2.1362,-0.0829,0.1093,0.4514,1.6976
3.719,-7.6379,2.1353,-0.0812,0.1075,0.466,1.7002
3.769,-7.6276,2.1345,-0.0796,0.1061,0.4762,1.7018
3.819,-7.6122,2.1333,-0.0775,0.1048,0.4865,1.7033
3.869,-7.6018,2.1325,-0.0763,0.1027,0.5019,1.7052
3.919,-7.5863,2.1313,-0.0746,0.1009,0.5151,1.7066
3.97,-7.576,2.1306,-0.0737,0.0996,0.5247,1.7076
4.02,-7.5656,2.1298,-0.0728,0.0976,0.5394,1.7089
4.07,-7.55,2.1287,-0.0716,0.0962,0.5497,1.7098
4.12,-7.5396,2.1279,-0.0708,0.0941,0.5644,1.7109
4.17,-7.524,2.1268,-0.0698,0.0927,0.574,1.7117
4.221,-7.5136,2.1261,-0.0692,0.0906,0.5895,1.7127
4.271,-7.5032,2.1254,-0.0686,0.0891,0.5998,1.7133
4.321,-7.4876,2.1243,-0.0678,0.0872,0.6131,1.714
4.371,-7.4772,2.1236,-0.0674,0.0857,0.6235,1.7146
4.422,-7.4615,2.1226,-0.0668,0.0835,0.6382,1.7154
4.472,-7.4511,2.1219,-0.0664,0.0821,0.6478,1.7158
4.522,-7.4406,2.1212,-0.0661,0.08,0.6626,1.7163
4.572,-7.425,2.1201,-0.0657,0.0786,0.6722,1.7167
4.622,-7.4145,2.1195,-0.0654,0.0763,0.6878,1.7172
4.673,-7.4041,2.1188,-0.0652,0.0748,0.6981,1.7175
4.723,-7.3884,2.1177,-0.0649,0.0725,0.7137,1.718
4.773,-7.378,2.1171,-0.0647,0.0713,0.7218,1.7182
4.823,-7.3623,2.1161,-0.0645,0.0691,0.7366,1.7185
4.874,-7.3518,2.1154,-0.0643,0.0676,0.7463,1.7187
4.924,-7.3414,2.1147,-0.0642,0.0654,0.7611,1.7191
4.974,-7.3257,2.1137,-0.064,0.0639,0.7714,1.7193
5.024,-7.3152,2.113,-0.0639,0.0617,0.7863,1.7196
5.074,-7.2995,2.112,-0.0637,0.0601,0.7966,1.7198
5.125,-7.2891,2.1114,-0.0636,0.0578,0.8122,1.72
5.175,-7.2786,2.1107,-0.0636,0.0565,0.8203,1.7201
5.225,-7.2629,2.1097,-0.0634,0.0543,0.8352,1.7203
5.275,-7.2525,2.109,-0.0634,0.0528,0.8455,1.7205
5.326,-7.2368,2.108,-0.0632,0.0505,0.8603,1.7206
5.376,-7.2263,2.1074,-0.0632,0.0491,0.87,1.7207
5.426,-7.2158,2.1067,-0.0631,0.0468,0.8848,1.7208
5.476,-7.2001,2.1057,-0.0631,0.0453,0.8952,1.721
5.527,-7.1896,2.1051,-0.063,0.0429,0.9107,1.7212
5.577,-7.1739,2.1041,-0.0629,0.0413,0.9211,1.7214
5.627,-7.1634,2.1034,-0.0629,0.0393,0.9345,1.7215
5.677,-7.153,2.1027,-0.0628,0.0378,0.9441,1.7216
5.727,-7.1373,2.1018,-0.0628,0.0356,0.9589,1.7218
5.778,-7.1268,2.1011,-0.0628,0.0341,0.9686,1.7219
5.828,-7.1111,2.1001,-0.0627,0.0319,0.9834,1.722
5.878,-7.1006,2.0995,-0.0627,0.0295,0.9989,1.7222
5.928,-7.0901,2.0988,-0.0627,0.0279,1.0093,1.7223
5.978,-7.0744,2.0978,-0.0626,0.0263,1.0197,1.7224
6.029,-7.0639,2.0972,-0.0626,0.0243,1.033,1.7226
6.079,-7.0535,2.0965,-0.0626,0.0228,1.0427,1.7227
6.129,-7.0377,2.0955,-0.0626,0.0205,1.0575,1.7229
6.179,-7.0273,2.0949,-0.0626,0.0183,1.0723,1.723
6.23,-7.0115,2.0939,-0.0625,0.0167,1.0827,1.7231
6.28,-7.0011,2.0932,-0.0625,0.0144,1.0975,1.7233
6.33,-6.9906,2.0926,-0.0625,0.0128,1.1079,1.7234
6.38,-6.9749,2.0916,-0.0625,0.0104,1.1235,1.7235
6.43,-6.9644,2.0909,-0.0625,0.0092,1.1316,1.7236
6.481,-6.9487,2.0899,-0.0625,0.0069,1.1464,1.7237
6.531,-6.9382,2.0893,-0.0625,0.0053,1.1568,1.7238
6.581,-6.9277,2.0886,-0.0625,0.003,1.1716,1.7238
6.631,-6.912,2.0876,-0.0625,0.0015,1.1813,1.7239
6.682,-6.9015,2.087,-0.0624,-0.0008,1.1961,1.7239
6.732,-6.8858,2.086,-0.0624,-0.0024,1.2065,1.724
6.782,-6.8753,2.0854,-0.0624,-0.0048,1.222,1.7242
6.832,-6.8648,2.0847,-0.0624,-0.0064,1.2324,1.7242
6.882,-6.8491,2.0837,-0.0624,-0.0085,1.2458,1.7244
6.933,-6.8386,2.0831,-0.0624,-0.0099,1.2554,1.7244
6.983,-6.8229,2.0821,-0.0624,-0.0122,1.2702,1.7245
7.033,-6.8124,2.0814,-0.0624,-0.0137,1.2799,1.7246
7.083,-6.802,2.0808,-0.0624,-0.016,1.2947,1.7247
7.133,-6.7862,2.0798,-0.0624,-0.0176,1.3051,1.7248
7.184,-6.7758,2.0791,-0.0624,-0.0201,1.3206,1.7249
7.234,-6.7653,2.0785,-0.0624,-0.0217,1.331,1.7249
7.284,-6.7496,2.0775,-0.0624,-0.0237,1.3443,1.7249
7.334,-6.7391,2.0768,-0.0624,-0.0252,1.354,1.725
7.384,-6.7234,2.0759,-0.0624,-0.0275,1.3688,1.7252
7.435,-6.7129,2.0752,-0.0624,-0.0292,1.3792,1.7253
7.485,-6.7024,2.0745,-0.0624,-0.0315,1.394,1.7254
7.535,-6.6867,2.0736,-0.0624,-0.033,1.4036,1.7255
7.585,-6.6762,2.0729,-0.0624,-0.0354,1.4192,1.7255
7.635,-6.6605,2.0719,-0.0624,-0.0368,1.4281,1.7255
7.686,-6.65,2.0713,-0.0624,-0.0391,1.4429,1.7257
7.736,-6.6395,2.0706,-0.0624,-0.0407,1.4533,1.7258
7.786,-6.6238,2.0696,-0.0624,-0.043,1.4681,1.726
7.836,-6.6133,2.069,-0.0624,-0.0445,1.4777,1.726
7.887,-6.5976,2.068,-0.0624,-0.0469,1.4925,1.7261
7.937,-6.5871,2.0673,-0.0624,-0.0484,1.5022,1.7261
7.987,-6.5767,2.0667,-0.0624,-0.0508,1.5177,1.7263
8.037,-6.5609,2.0657,-0.0624,-0.0524,1.5281,1.7264
8.087,-6.5505,2.0651,-0.0624,-0.0549,1.5437,1.7265
8.138,-6.54,2.0644,-0.0624,-0.0561,1.5518,1.7266
8.188,-6.5243,2.0634,-0.0624,-0.0585,1.5666,1.7267
8.238,-6.5138,2.0628,-0.0624,-0.06,1.5763,1.7268
8.288,-6.4981,2.0618,-0.0624,-0.0623,1.5911,1.7269
8.338,-6.4876,2.0611,-0.0624,-0.0647,1.6059,1.727
8.389,-6.4771,2.0605,-0.0624,-0.0663,1.6163,1.7271
8.439,-6.4614,2.0595,-0.0624,-0.0679,1.6266,1.7271
8.489,-6.4509,2.0588,-0.0624,-0.0704,1.6422,1.7273
8.539,-6.4352,2.0579,-0.0624,-0.0717,1.6503,1.7273
8.59,-6.4247,2.0572,-0.0624,-0.074,1.6652,1.7274
8.64,-6.4142,2.0565,-0.0624,-0.0763,1.68,1.7276
8.69,-6.3985,2.0556,-0.0624,-0.078,1.6904,1.7276
8.74,-6.388,2.0549,-0.0624,-0.0803,1.7052,1.7278
8.79,-6.3723,2.0539,-0.0624,-0.0819,1.7148,1.7279
8.84,-6.3618,2.0533,-0.0624,-0.0843,1.7304,1.728
8.891,-6.3513,2.0526,-0.0624,-0.086,1.7407,1.7281
8.941,-6.3356,2.0516,-0.0624,-0.0881,1.7541,1.7282
8.991,-6.3251,2.051,-0.0624,-0.0897,1.7644,1.7284
9.041,-6.3094,2.05,-0.0624,-0.0921,1.7792,1.7285
9.091,-6.299,2.0493,-0.0624,-0.0936,1.7889,1.7285
9.142,-6.2885,2.0487,-0.0624,-0.096,1.8037,1.7287
9.192,-6.2728,2.0477,-0.0624,-0.0975,1.8133,1.7288
9.242,-6.2623,2.0471,-0.0624,-0.1,1.8289,1.729
9.292,-6.2518,2.0464,-0.0624,-0.1016,1.8392,1.729
9.342,-6.2361,2.0454,-0.0624,-0.1041,1.8548,1.7292
9.393,-6.2256,2.0448,-0.0624,-0.1054,1.8629,1.7292
9.443,-6.2099,2.0438,-0.0624,-0.1078,1.8777,1.7293
9.493,-6.1994,2.0431,-0.0624,-0.1093,1.8874,1.7293
9.543,-6.1889,2.0425,-0.0624,-0.1117,1.9022,1.7294
9.593,-6.1732,2.0415,-0.0624,-0.1133,1.9126,1.7295
9.644,-6.1627,2.0408,-0.0624,-0.1157,1.9274,1.7296
9.694,-6.147,2.0399,-0.0624,-0.1174,1.9377,1.7296
9.744,-6.1365,2.0392,-0.0624,-0.1199,1.9533,1.7297
9.794,-6.126,2.0385,-0.0624,-0.1212,1.9614,1.7297
9.845,-6.1103,2.0376,-0.0624,-0.1236,1.9762,1.7299
9.895,-6.0998,2.0369,-0.0624,-0.1252,1.9866,1.73
9.945,-6.0841,2.0359,-0.0624,-0.1276,2.0014,1.7302
9.996,-6.0736,2.0353,-0.0624,-0.1291,2.011,1.7303
10.046,-6.0632,2.0346,-0.0624,-0.1315,2.0259,1.7306
10.096,-6.0474,2.0336,-0.0624,-0.1332,2.0362,1.7306
10.146,-6.037,2.033,-0.0624,-0.1357,2.0518,1.7307
10.197,-6.0212,2.032,-0.0624,-0.1374,2.0621,1.7308
10.247,-6.0108,2.0313,-0.0624,-0.1395,2.0755,1.7309
10.297,-6.0003,2.0307,-0.0624,-0.1411,2.0851,1.731
10.347,-5.9846,2.0297,-0.0624,-0.1435,2.0999,1.7311
10.397,-5.9741,2.0291,-0.0624,-0.145,2.1095,1.7311
10.448,-5.9636,2.0284,-0.0624,-0.1474,2.1243,1.7312
10.498,-5.9479,2.0274,-0.0624,-0.1499,2.1399,1.7314
10.548,-5.9374,2.0268,-0.0624,-0.1516,2.1502,1.7314
10.598,-5.9217,2.0258,-0.0624,-0.1533,2.1606,1.7315
10.648,-5.9112,2.0251,-0.0624,-0.1555,2.1739,1.7317
10.699,-5.9007,2.0245,-0.0624,-0.157,2.1836,1.7317
10.749,-5.885,2.0235,-0.0624,-0.1594,2.1984,1.7318
10.799,-5.8745,2.0228,-0.0624,-0.1618,2.2132,1.7319
10.849,-5.8588,2.0219,-0.0624,-0.1635,2.2235,1.732
10.899,-5.8483,2.0212,-0.0624,-0.1659,2.2383,1.7322
10.95,-5.8378,2.0205,-0.0624,-0.1676,2.2487,1.7322
11.0,-5.8221,2.0196,-0.0624,-0.1702,2.2642,1.7324
11.05,-5.8117,2.0189,-0.0624,-0.1715,2.2724,1.7325
11.1,-5.7959,2.0179,-0.0624,-0.1739,2.2872,1.7326
11.15,-5.7855,2.0173,-0.0624,-0.1756,2.2976,1.7327
11.201,-5.775,2.0166,-0.0624,-0.178,2.3124,1.7328
11.251,-5.7593,2.0156,-0.0624,-0.1796,2.322,1.733
11.301,-5.7488,2.015,-0.0624,-0.1812,2.3316,1.733
11.351,-5.7331,2.014,-0.0624,-0.1837,2.3471,1.7331
11.402,-5.7226,2.0133,-0.0624,-0.1862,2.3627,1.7332
11.452,-5.7121,2.0127,-0.0624,-0.1879,2.3731,1.7332
11.502,-5.6964,2.0117,-0.0624,-0.1901,2.3864,1.7334
11.552,-5.6859,2.0111,-0.0624,-0.1917,2.396,1.7334
11.603,-5.6754,2.0104,-0.0624,-0.1941,2.4108,1.7335
11.653,-5.6597,2.0094,-0.0624,-0.1957,2.4204,1.7336
11.703,-5.6492,2.0088,-0.0624,-0.1981,2.4352,1.7337
11.753,-5.6335,2.0078,-0.0624,-0.1998,2.4456,1.7337
11.803,-5.623,2.0071,-0.0624,-0.2024,2.4611,1.7338
11.854,-5.6125,2.0065,-0.0624,-0.2041,2.4715,1.7339
11.904,-5.5968,2.0055,-0.0624,-0.2063,2.4848,1.734
11.954,-5.5863,2.0048,-0.0624,-0.2079,2.4944,1.7341
12.004,-5.5706,2.0039,-0.0624,-0.2103,2.5092,1.7342
12.055,-5.5601,2.0032,-0.0624,-0.212,2.5196,1.7342
12.105,-5.5497,2.0025,-0.0624,-0.2145,2.5344,1.7343
12.155,-5.5339,2.0016,-0.0624,-0.2161,2.544,1.7344
12.205,-5.5235,2.0009,-0.0624,-0.2186,2.5595,1.7345
12.256,-5.5077,1.9999,-0.0624,-0.2203,2.5699,1.7345
12.306,-5.4973,1.9993,-0.0624,-0.2225,2.5832,1.7346
12.356,-5.4868,1.9986,-0.0624,-0.2242,2.5936,1.7347
12.406,-5.4711,1.9976,-0.0624,-0.2267,2.6084,1.7348
12.456,-5.4606,1.997,-0.0624,-0.2283,2.618,1.7349
12.507,-5.4449,1.996,-0.0624,-0.2307,2.6328,1.735
12.557,-5.4344,1.9954,-0.0624,-0.2323,2.6424,1.7352
12.607,-5.4239,1.9947,-0.0624,-0.2349,2.658,1.7353
12.657,-5.4082,1.9937,-0.0624,-0.2375,2.6735,1.7355
12.707,-5.3977,1.9931,-0.0624,-0.2392,2.6839,1.7355
12.758,-5.382,1.9921,-0.0624,-0.2406,2.692,1.7356
12.808,-5.3715,1.9914,-0.0624,-0.243,2.7068,1.7357
12.858,-5.361,1.9908,-0.0624,-0.2446,2.7164,1.7358
12.908,-5.3453,1.9898,-0.0624,-0.2471,2.7312,1.736
12.959,-5.3348,1.9891,-0.0624,-0.2496,2.746,1.7361
13.009,-5.3243,1.9885,-0.0624,-0.2513,2.7564,1.7362
13.059,-5.3086,1.9875,-0.0624,-0.2539,2.7719,1.7364
13.109,-5.2982,1.9868,-0.0624,-0.2556,2.7822,1.7366
13.159,-5.2824,1.9859,-0.0624,-0.2578,2.7956,1.7366
13.21,-5.272,1.9852,-0.0624,-0.2595,2.8052,1.7367
13.26,-5.2615,1.9846,-0.0624,-0.2619,2.82,1.7368
13.31,-5.2458,1.9836,-0.0624,-0.2637,2.8303,1.7369
13.36,-5.2353,1.9829,-0.0624,-0.2662,2.8451,1.7371
13.41,-5.2196,1.9819,-0.0624,-0.2678,2.8547,1.7372
13.46,-5.2091,1.9813,-0.0624,-0.2704,2.8703,1.7373
13.511,-5.1986,1.9806,-0.0624,-0.2719,2.8791,1.7374
13.561,-5.1829,1.9796,-0.0624,-0.2739,2.891,1.7375
13.611,-5.1724,1.979,-0.0624,-0.2761,2.9043,1.7375
13.661,-5.1567,1.978,-0.0624,-0.2786,2.9191,1.7377
13.712,-5.1462,1.9774,-0.0624,-0.2802,2.9287,1.7378
13.762,-5.1357,1.9767,-0.0624,-0.2827,2.9435,1.7379
13.812,-5.12,1.9757,-0.0624,-0.2843,2.9531,1.738
13.862,-5.1095,1.9751,-0.0624,-0.2869,2.9686,1.738
13.912,-5.0938,1.9741,-0.0624,-0.2887,2.979,1.7381
13.963,-5.0833,1.9734,-0.0624,-0.2913,2.9945,1.7383
14.013,-5.0728,1.9728,-0.0624,-0.2927,3.0026,1.7384
14.063,-5.0571,1.9718,-0.0624,-0.2952,3.0174,1.7385
14.113,-5.0466,1.9711,-0.0624,-0.2968,3.027,1.7386
14.163,-5.0362,1.9705,-0.0624,-0.2993,3.0418,1.7388
14.214,-5.0204,1.9695,-0.0624,-0.3011,3.0522,1.7389
14.264,-5.01,1.9688,-0.0624,-0.3036,3.067,1.739
14.314,-4.9942,1.9679,-0.0624,-0.3054,3.0773,1.739
14.364,-4.9838,1.9672,-0.0624,-0.308,3.0929,1.7391
14.414,-4.9733,1.9666,-0.0624,-0.3094,3.101,1.7391
14.465,-4.9576,1.9656,-0.0624,-0.3119,3.1158,1.7394
14.515,-4.9471,1.9649,-0.0624,-0.3137,3.1261,1.7394
14.565,-4.9314,1.9639,-0.0624,-0.3162,3.1409,1.7395
14.615,-4.9209,1.9633,-0.0624,-0.3178,3.1505,1.7396
14.665,-4.9104,1.9626,-0.0624,-0.3203,3.1653,1.7397
14.716,-4.8947,1.9616,-0.0624,-0.3221,3.1757,1.7397
14.766,-4.8842,1.961,-0.0624,-0.3247,3.1912,1.7398
14.816,-4.8685,1.96,-0.0624,-0.3265,3.2015,1.7399
14.866,-4.858,1.9594,-0.0624,-0.3288,3.2148,1.74
14.916,-4.8475,1.9587,-0.0624,-0.3304,3.2245,1.7402
14.967,-4.8318,1.9577,-0.0624,-0.333,3.2392,1.7403
15.017,-4.8213,1.9571,-0.0624,-0.3346,3.2489,1.7405
15.067,-4.8109,1.9564,-0.0624,-0.3371,3.2636,1.7405
15.117,-4.7951,1.9554,-0.0624,-0.3389,3.274,1.7407
15.167,-4.7847,1.9548,-0.0624,-0.3416,3.2895,1.7408
15.218,-4.7689,1.9538,-0.0624,-0.3433,3.2999,1.7409
15.268,-4.7585,1.9531,-0.0624,-0.3456,3.3132,1.7409
15.318,-4.748,1.9525,-0.0624,-0.3473,3.3228,1.741
15.368,-4.7323,1.9515,-0.0624,-0.3498,3.3376,1.7411
15.419,-4.7218,1.9508,-0.0624,-0.3524,3.3523,1.7412
15.469,-4.7061,1.9499,-0.0624,-0.3541,3.3627,1.7413
15.519,-4.6956,1.9492,-0.0624,-0.3558,3.3723,1.7413
15.569,-4.6851,1.9486,-0.0624,-0.3585,3.3878,1.7414
15.619,-4.6694,1.9476,-0.0624,-0.3612,3.4033,1.7415
15.67,-4.6589,1.9469,-0.0624,-0.3626,3.4115,1.7415
15.72,-4.6432,1.9459,-0.0624,-0.3651,3.4263,1.7417
15.77,-4.6327,1.9453,-0.0624,-0.3669,3.4366,1.7418
15.82,-4.6222,1.9446,-0.0624,-0.3694,3.4514,1.7419
15.87,-4.6065,1.9436,-0.0624,-0.3711,3.461,1.7419
15.921,-4.596,1.943,-0.0624,-0.3737,3.4758,1.742
15.971,-4.5803,1.942,-0.0624,-0.3754,3.4861,1.7421
16.021,-4.5698,1.9414,-0.0624,-0.3781,3.5016,1.7422
16.071,-4.5593,1.9407,-0.0624,-0.3799,3.512,1.7423
16.122,-4.5436,1.9397,-0.0624,-0.3822,3.5253,1.7424
16.172,-4.5331,1.9391,-0.0624,-0.3839,3.5349,1.7425
16.222,-4.5227,1.9384,-0.0624,-0.3865,3.5497,1.7426
16.272,-4.5069,1.9374,-0.0624,-0.3881,3.5593,1.7426
16.322,-4.4965,1.9368,-0.0624,-0.3907,3.5741,1.7427
16.373,-4.4807,1.9358,-0.0624,-0.3925,3.5844,1.7427
16.423,-4.4703,1.9351,-0.0624,-0.3952,3.5999,1.7428
