t,truth_x,truth_y,truth_yaw,est_x,est_y,est_yaw
0.0,-8.0997,2.2925,-1.7117,0.0,0.0,0.0239
0.05,-8.0997,2.2925,-1.7093,0.0001,0.0,0.033
0.101,-8.1,2.2899,-1.6752,0.0011,0.0001,0.0574
0.151,-8.1004,2.2856,-1.65,0.0059,0.0006,0.0953
0.201,-8.1009,2.2801,-1.6247,0.0099,0.001,0.1152
0.251,-8.1013,2.2716,-1.5867,0.0183,0.0022,0.1516
0.301,-8.1013,2.2659,-1.5609,0.0241,0.0031,0.1756
0.352,-8.101,2.2572,-1.5217,0.033,0.0048,0.2131
0.402,-8.1006,2.2513,-1.4952,0.0388,0.0061,0.2378
0.452,-8.1,2.2452,-1.4685,0.0481,0.0085,0.278
0.502,-8.0988,2.2357,-1.4278,0.0542,0.0103,0.3053
0.553,-8.0977,2.2293,-1.4003,0.0633,0.0133,0.3467
0.603,-8.0965,2.2228,-1.3727,0.0681,0.015,0.3684
0.653,-8.0944,2.2131,-1.3315,0.0765,0.0184,0.4078
0.703,-8.0928,2.2067,-1.3041,0.0819,0.0208,0.4333
0.753,-8.09,2.1971,-1.2632,0.0901,0.0247,0.4724
0.804,-8.088,2.1907,-1.236,0.0958,0.0277,0.4996
0.854,-8.0859,2.1844,-1.209,0.1037,0.0321,0.5383
0.904,-8.0825,2.1751,-1.1687,0.1091,0.0354,0.5652
0.954,-8.0802,2.1688,-1.1422,0.1171,0.0406,0.6052
1.004,-8.0765,2.1596,-1.1029,0.1223,0.0443,0.6313
1.055,-8.0739,2.1535,-1.0773,0.1285,0.0489,0.6626
1.105,-8.0712,2.1475,-1.0521,0.1335,0.0528,0.6878
1.155,-8.0669,2.1387,-1.0148,0.1404,0.0586,0.7234
1.205,-8.0638,2.133,-0.9902,0.1471,0.0647,0.7586
1.256,-8.059,2.1248,-0.9536,0.1513,0.0687,0.7814
1.306,-8.0556,2.1195,-0.9294,0.158,0.0755,0.8178
1.356,-8.052,2.1145,-0.9053,0.1623,0.0802,0.8419
1.406,-8.0465,2.1073,-0.8695,0.1685,0.0873,0.8778
1.456,-8.0425,2.1027,-0.8455,0.1717,0.0912,0.8969
1.507,-8.0383,2.0981,-0.8209,0.1777,0.0991,0.9325
1.557,-8.0315,2.091,-0.7831,0.1816,0.1046,0.956
1.607,-8.0265,2.0861,-0.7579,0.1878,0.1138,0.9921
1.657,-8.0179,2.0783,-0.7202,0.1919,0.1203,1.0155
1.707,-8.0117,2.073,-0.695,0.1986,0.1318,1.0534
1.758,-8.005,2.0675,-0.6699,0.2031,0.1401,1.0786
1.808,-7.994,2.059,-0.6322,0.2098,0.1533,1.1164
1.858,-7.9862,2.0533,-0.607,0.2133,0.1606,1.1363
1.908,-7.9733,2.0445,-0.5693,0.2196,0.175,1.1724
1.959,-7.9642,2.0385,-0.5441,0.2235,0.1848,1.1958
2.009,-7.9544,2.0322,-0.5188,0.2295,0.201,1.232
2.059,-7.9388,2.0226,-0.4809,0.2335,0.2128,1.2573
2.109,-7.9279,2.0165,-0.4557,0.2389,0.2306,1.2935
2.159,-7.9103,2.0073,-0.4179,0.2424,0.2436,1.3188
2.21,-7.8979,2.0014,-0.3929,0.2473,0.2643,1.3562
2.26,-7.8848,1.9957,-0.3685,0.2502,0.2787,1.3803
2.31,-7.8641,1.9876,-0.3336,0.2535,0.2967,1.4087
2.36,-7.8496,1.9826,-0.3115,0.2558,0.3121,1.4306
2.411,-7.8265,1.9754,-0.2809,0.2587,0.3349,1.4597
2.461,-7.8106,1.9709,-0.2623,0.2603,0.3502,1.4774
2.511,-7.7943,1.9666,-0.2455,0.2622,0.3744,1.5012
2.561,-7.7692,1.9605,-0.2231,0.2633,0.3917,1.5162
2.611,-7.7522,1.9567,-0.21,0.2645,0.4182,1.5357
2.662,-7.7349,1.9531,-0.1984,0.2651,0.4362,1.547
2.712,-7.7085,1.9481,-0.1825,0.2655,0.4597,1.5606
2.762,-7.6906,1.9448,-0.1728,0.2656,0.4768,1.5698
2.812,-7.6633,1.9402,-0.1597,0.2655,0.5035,1.5823
2.863,-7.6448,1.9373,-0.1517,0.2653,0.521,1.59
2.913,-7.6262,1.9346,-0.1443,0.2646,0.5483,1.6005
2.963,-7.5979,1.9306,-0.1341,0.264,0.5675,1.6074
3.013,-7.5789,1.9281,-0.1278,0.2629,0.5965,1.6168
3.063,-7.55,1.9245,-0.1189,0.2619,0.616,1.6229
3.114,-7.5304,1.9222,-0.113,0.2605,0.6412,1.6306
3.164,-7.5108,1.92,-0.1076,0.2594,0.6596,1.6357
3.214,-7.4811,1.9169,-0.1002,0.2575,0.6879,1.6428
3.264,-7.4612,1.915,-0.0957,0.256,0.7078,1.6474
3.314,-7.4312,1.9122,-0.0898,0.2538,0.7364,1.6532
3.365,-7.411,1.9104,-0.0863,0.2522,0.7551,1.6566
3.415,-7.3908,1.9087,-0.0831,0.2496,0.7854,1.6614
3.465,-7.3604,1.9062,-0.0789,0.2468,0.8157,1.6656
3.515,-7.34,1.9046,-0.0765,0.2448,0.8361,1.668
3.565,-7.3093,1.9023,-0.0734,0.2433,0.8521,1.6697
3.615,-7.2888,1.9008,-0.0714,0.2404,0.8812,1.6725
3.666,-7.2683,1.8994,-0.0698,0.2374,0.9104,1.6749
3.716,-7.2375,1.8973,-0.0675,0.2354,0.9294,1.6764
3.766,-7.217,1.8959,-0.066,0.2323,0.9587,1.6786
3.816,-7.1964,1.8945,-0.0647,0.23,0.9792,1.68
3.867,-7.1655,1.8926,-0.0628,0.2278,0.9998,1.6814
3.917,-7.1449,1.8913,-0.0616,0.2243,1.0306,1.6832
3.967,-7.1139,1.8894,-0.0601,0.2213,1.0572,1.6846
4.017,-7.0932,1.8882,-0.0591,0.2192,1.0763,1.6856
4.067,-7.0725,1.8869,-0.0583,0.2157,1.1058,1.6869
4.118,-7.0414,1.8851,-0.0571,0.2135,1.1249,1.6877
4.168,-7.0206,1.884,-0.0563,0.2111,1.1456,1.6886
4.218,-6.9895,1.8822,-0.0551,0.2076,1.1751,1.6898
4.268,-6.9686,1.8811,-0.0544,0.2039,1.2062,1.6909
4.318,-6.9478,1.88,-0.0538,0.2014,1.2269,1.6916
4.369,-6.9166,1.8783,-0.0529,0.1981,1.2536,1.6924
4.419,-6.8957,1.8772,-0.0524,0.1958,1.2728,1.693
4.469,-6.8644,1.8756,-0.0517,0.1921,1.3024,1.6938
4.519,-6.8435,1.8745,-0.0513,0.1896,1.3232,1.6943
4.57,-6.8226,1.8734,-0.051,0.1859,1.3528,1.6949
4.62,-6.7913,1.8718,-0.0505,0.1835,1.3721,1.6952
4.67,-6.7704,1.8708,-0.0503,0.1796,1.4032,1.6958
4.72,-6.739,1.8692,-0.0499,0.177,1.424,1.6961
4.77,-6.7181,1.8681,-0.0497,0.1731,1.4552,1.6965
4.821,-6.6971,1.8671,-0.0495,0.171,1.4715,1.6967
4.871,-6.6658,1.8656,-0.0492,0.1672,1.5012,1.6971
4.921,-6.6448,1.8645,-0.049,0.1648,1.5205,1.6973
4.971,-6.6239,1.8635,-0.0489,0.161,1.5502,1.6977
5.022,-6.5925,1.862,-0.0487,0.1585,1.5695,1.6979
5.072,-6.5716,1.861,-0.0485,0.1546,1.6007,1.6982
5.122,-6.5402,1.8594,-0.0483,0.1519,1.6215,1.6984
5.172,-6.5192,1.8584,-0.0482,0.1479,1.6527,1.6988
5.222,-6.4983,1.8574,-0.0481,0.1458,1.669,1.6989
5.273,-6.4669,1.8559,-0.0479,0.142,1.6988,1.6992
5.323,-6.4459,1.8549,-0.0478,0.1395,1.7181,1.6994
5.373,-6.4145,1.8534,-0.0477,0.1356,1.7478,1.6996
5.423,-6.3935,1.8524,-0.0476,0.1329,1.7686,1.6997
5.473,-6.3726,1.8514,-0.0475,0.1291,1.7983,1.7
5.523,-6.3411,1.8499,-0.0474,0.1264,1.8191,1.7001
5.574,-6.3202,1.8489,-0.0474,0.1223,1.8503,1.7003
5.624,-6.2887,1.8474,-0.0473,0.1196,1.8712,1.7004
5.674,-6.2678,1.8464,-0.0472,0.1163,1.8964,1.7006
5.724,-6.2468,1.8454,-0.0472,0.1136,1.9173,1.7008
5.775,-6.2153,1.8439,-0.0472,0.1097,1.947,1.7009
5.825,-6.1944,1.843,-0.0471,0.1072,1.9663,1.701
5.875,-6.1629,1.8415,-0.0471,0.1033,1.996,1.7012
5.925,-6.1419,1.8405,-0.047,0.0992,2.0273,1.7013
5.975,-6.121,1.8395,-0.047,0.0964,2.0481,1.7014
6.026,-6.0895,1.838,-0.047,0.0937,2.0689,1.7015
6.076,-6.0685,1.837,-0.047,0.0902,2.0957,1.7016
6.126,-6.0476,1.836,-0.0469,0.0863,2.1254,1.7018
6.176,-6.0161,1.8346,-0.0469,0.0837,2.1447,1.7018
6.226,-5.9951,1.8336,-0.0469,0.0798,2.1745,1.702
6.277,-5.9637,1.8321,-0.0469,0.0773,2.1938,1.7021
6.327,-5.9427,1.8311,-0.0469,0.0731,2.225,1.7022
6.377,-5.9217,1.8301,-0.0468,0.0704,2.2458,1.7023
6.427,-5.8903,1.8287,-0.0468,0.0663,2.277,1.7024
6.477,-5.8693,1.8277,-0.0468,0.0641,2.2934,1.7025
6.528,-5.8483,1.8267,-0.0468,0.0615,2.3127,1.7025
6.578,-5.8169,1.8252,-0.0468,0.0576,2.3425,1.7027
6.628,-5.7959,1.8242,-0.0468,0.0548,2.3633,1.7028
6.678,-5.7644,1.8228,-0.0468,0.0509,2.393,1.7029
6.728,-5.7435,1.8218,-0.0468,0.0469,2.4228,1.7031
