t,truth_x,truth_y,truth_yaw,est_x,est_y,est_yaw
0.0,-8.111,2.281,-1.7026,2.3715,-3.7665,5.3332
0.05,-8.111,2.281,-1.7016,2.3716,-3.7665,5.3386
0.101,-8.1113,2.2788,-1.6698,2.3735,-3.769,5.3764
0.151,-8.1117,2.2748,-1.6446,2.3765,-3.7727,5.4016
0.201,-8.1122,2.2666,-1.6068,2.3826,-3.7799,5.4394
0.253,-8.1123,2.261,-1.5816,2.3868,-3.7845,5.4646
0.303,-8.1123,2.2555,-1.5564,2.3912,-3.7891,5.4898
0.354,-8.1121,2.2472,-1.5186,2.398,-3.7957,5.5276
0.404,-8.1117,2.2416,-1.4934,2.4026,-3.7999,5.5528
0.454,-8.1109,2.2334,-1.4556,2.4097,-3.8061,5.5906
0.505,-8.1102,2.2279,-1.4304,2.4146,-3.8101,5.6158
0.555,-8.1094,2.2224,-1.4052,2.4196,-3.8139,5.641
0.605,-8.1079,2.2142,-1.3674,2.4273,-3.8194,5.6788
0.656,-8.1067,2.2088,-1.3422,2.4325,-3.8229,5.704
0.706,-8.1047,2.2007,-1.3044,2.4405,-3.828,5.7418
0.756,-8.1031,2.1954,-1.2792,2.446,-3.8311,5.767
0.806,-8.1015,2.1901,-1.254,2.4515,-3.8342,5.7922
0.857,-8.0987,2.1823,-1.2162,2.4599,-3.8385,5.83
0.907,-8.0968,2.1771,-1.191,2.4656,-3.8412,5.8552
0.957,-8.0935,2.1694,-1.1532,2.4743,-3.8449,5.893
1.007,-8.0912,2.1644,-1.128,2.4801,-3.8472,5.9182
1.058,-8.0888,2.1594,-1.1028,2.4861,-3.8494,5.9434
1.108,-8.0849,2.152,-1.065,2.495,-3.8524,5.9812
1.158,-8.0822,2.1472,-1.0398,2.5011,-3.8542,6.0064
1.208,-8.0778,2.1401,-1.002,2.5102,-3.8566,6.0442
1.259,-8.0748,2.1355,-0.9767,2.5163,-3.858,6.0694
1.309,-8.0716,2.1309,-0.9513,2.5225,-3.8593,6.0946
1.359,-8.0666,2.1241,-0.9127,2.5318,-3.8609,6.1324
1.41,-8.063,2.1196,-0.8864,2.5381,-3.8617,6.1576
1.46,-8.0572,2.1128,-0.8462,2.5476,-3.8628,6.1954
1.51,-8.0529,2.1081,-0.8191,2.5543,-3.8633,6.2206
1.561,-8.0482,2.1031,-0.7922,2.5616,-3.8636,6.2458
1.611,-8.0402,2.0953,-0.7515,2.5733,-3.8638,-6.2827
1.661,-8.0343,2.0899,-0.7241,2.5817,-3.8637,-6.2575
1.712,-8.0278,2.0842,-0.6967,2.5906,-3.8634,-6.2323
1.762,-8.0171,2.0756,-0.6552,2.6047,-3.8624,-6.1945
1.812,-8.0094,2.0697,-0.6273,2.6145,-3.8614,-6.1693
1.862,-7.9966,2.0608,-0.586,2.6304,-3.8593,-6.1315
1.912,-7.9875,2.0549,-0.5588,2.6414,-3.8575,-6.1063
1.963,-7.9779,2.049,-0.5321,2.653,-3.8552,-6.0811
2.013,-7.9626,2.0404,-0.4933,2.671,-3.8512,-6.0433
2.063,-7.952,2.0348,-0.4681,2.6833,-3.848,-6.0181
2.114,-7.9348,2.0265,-0.4303,2.7027,-3.8423,-5.9803
2.164,-7.9228,2.0212,-0.4051,2.7159,-3.838,-5.9551
2.214,-7.9101,2.0159,-0.38,2.7295,-3.8332,-5.9302
2.264,-7.8901,2.0083,-0.3453,2.7505,-3.8251,-5.8955
2.315,-7.8761,2.0034,-0.3238,2.7647,-3.8191,-5.8742
2.365,-7.8541,1.9964,-0.2951,2.7865,-3.8092,-5.8455
2.415,-7.8388,1.9919,-0.2774,2.8013,-3.8021,-5.828
2.465,-7.8231,1.9875,-0.2612,2.8163,-3.7946,-5.8119
2.515,-7.7988,1.9813,-0.239,2.8391,-3.7827,-5.7897
2.566,-7.7823,1.9772,-0.2252,2.8544,-3.7744,-5.776
2.616,-7.7566,1.9714,-0.2064,2.8776,-3.7612,-5.7576
2.666,-7.7391,1.9677,-0.1949,2.8932,-3.752,-5.7464
2.716,-7.7212,1.9642,-0.1839,2.9089,-3.7426,-5.7361
2.766,-7.6938,1.9593,-0.168,2.9325,-3.7279,-5.7219
2.817,-7.6753,1.9563,-0.1582,2.9483,-3.7179,-5.7132
2.867,-7.6471,1.9519,-0.1452,2.9722,-3.7024,-5.7017
2.917,-7.628,1.9492,-0.1373,2.9882,-3.6918,-5.6948
2.967,-7.6088,1.9467,-0.1301,3.0043,-3.681,-5.6885
3.018,-7.5798,1.943,-0.1202,3.0285,-3.6645,-5.6799
3.068,-7.5603,1.9407,-0.1142,3.0446,-3.6533,-5.6747
3.118,-7.5406,1.9385,-0.1087,3.0608,-3.6419,-5.67
3.169,-7.511,1.9354,-0.1013,3.0851,-3.6247,-5.6636
3.219,-7.4911,1.9334,-0.0969,3.1014,-3.6131,-5.6597
3.269,-7.4612,1.9306,-0.0914,3.1258,-3.5954,-5.6545
3.319,-7.4411,1.9288,-0.0883,3.1422,-3.5835,-5.6514
3.37,-7.421,1.927,-0.0855,3.1585,-3.5715,-5.6486
3.42,-7.3908,1.9245,-0.0816,3.183,-3.5534,-5.6447
3.47,-7.3706,1.9228,-0.0792,3.1993,-3.5412,-5.6423
3.521,-7.3401,1.9205,-0.0759,3.2239,-3.5228,-5.639
3.571,-7.3197,1.9189,-0.0739,3.2402,-3.5105,-5.637
3.621,-7.2993,1.9174,-0.0721,3.2566,-3.4982,-5.6352
3.672,-7.2686,1.9153,-0.0696,3.2812,-3.4795,-5.6327
3.722,-7.2481,1.9138,-0.068,3.2976,-3.467,-5.6311
3.772,-7.2172,1.9118,-0.0656,3.3222,-3.4482,-5.629
3.822,-7.1966,1.9104,-0.0642,3.3385,-3.4356,-5.6278
3.873,-7.1759,1.9091,-0.0628,3.3549,-3.423,-5.6266
3.923,-7.1449,1.9072,-0.0612,3.3796,-3.404,-5.625
3.973,-7.1241,1.9059,-0.0602,3.396,-3.3913,-5.6241
4.023,-7.093,1.9041,-0.0589,3.4206,-3.3722,-5.6228
4.074,-7.0722,1.9029,-0.0581,3.437,-3.3594,-5.622
4.124,-7.0514,1.9017,-0.0574,3.4534,-3.3466,-5.6213
4.174,-7.0202,1.8999,-0.0564,3.4781,-3.3274,-5.6203
4.225,-6.9994,1.8987,-0.0557,3.4945,-3.3146,-5.6197
4.275,-6.9681,1.897,-0.0548,3.5191,-3.2953,-5.6189
4.325,-6.9473,1.8958,-0.0543,3.5356,-3.2825,-5.6184
4.375,-6.9265,1.8947,-0.0538,3.552,-3.2696,-5.618
4.426,-6.8952,1.893,-0.0532,3.5767,-3.2502,-5.6174
4.476,-6.8743,1.8919,-0.0528,3.5931,-3.2373,-5.617
4.526,-6.8535,1.8908,-0.0525,3.6095,-3.2244,-5.6166
4.576,-6.8221,1.8892,-0.052,3.6342,-3.205,-5.6161
4.627,-6.8013,1.8881,-0.0517,3.6506,-3.192,-5.6159
4.677,-6.7699,1.8865,-0.0513,3.6753,-3.1726,-5.6155
4.727,-6.749,1.8854,-0.0511,3.6917,-3.1596,-5.6152
4.777,-6.7281,1.8844,-0.0508,3.7082,-3.1466,-5.615
4.828,-6.6967,1.8828,-0.0505,3.7328,-3.1272,-5.6147
4.878,-6.6758,1.8817,-0.0503,3.7493,-3.1142,-5.6145
