t,truth_x,truth_y,truth_yaw,est_x,est_y,est_yaw
0.0,-8.25,1.25,0.0,-0.0,-0.0,0.0239
0.051,-8.2499,1.25,0.0,0.0001,0.0,0.0239
0.101,-8.2468,1.25,-0.0,0.0017,0.0001,0.024
0.151,-8.242,1.25,-0.0,0.005,0.0002,0.0241
0.201,-8.2309,1.25,-0.0,0.0133,0.0004,0.0242
0.252,-8.2208,1.25,-0.0,0.0211,0.0006,0.0243
0.302,-8.2087,1.25,-0.0,0.0367,0.001,0.0244
0.352,-8.1864,1.25,-0.0,0.0493,0.0014,0.0245
0.402,-8.169,1.25,-0.0,0.0734,0.002,0.0246
0.452,-8.1389,1.25,-0.0,0.0922,0.0025,0.0246
0.503,-8.1179,1.25,-0.0,0.1229,0.0032,0.0247
0.553,-8.0969,1.25,-0.0,0.1394,0.0036,0.0248
0.603,-8.0654,1.25,-0.0,0.1696,0.0044,0.0249
0.653,-8.0444,1.25,-0.0,0.1893,0.0049,0.0251
0.703,-8.0129,1.25,-0.0,0.2196,0.0056,0.0251
0.754,-7.9919,1.25,-0.0,0.2408,0.0062,0.0252
0.804,-7.9709,1.25,0.0,0.2711,0.0069,0.0253
0.854,-7.9394,1.25,0.0,0.2923,0.0074,0.0254
0.904,-7.9184,1.25,0.0,0.324,0.0082,0.0255
0.954,-7.8974,1.25,0.0,0.3407,0.0087,0.0256
1.005,-7.8659,1.25,0.0,0.3709,0.0094,0.0257
1.055,-7.8449,1.25,0.0,0.3921,0.01,0.0258
1.105,-7.8134,1.25,0.0,0.4222,0.0108,0.0259
1.155,-7.7924,1.25,0.0,0.4418,0.0113,0.026
1.205,-7.7714,1.25,0.0,0.472,0.012,0.0261
1.256,-7.7399,1.25,0.0,0.4931,0.0126,0.0261
1.306,-7.7189,1.25,0.0,0.5248,0.0134,0.0262
1.356,-7.6874,1.25,0.0,0.5519,0.0141,0.0263
1.406,-7.6664,1.25,0.0,0.573,0.0147,0.0264
1.457,-7.6454,1.25,-0.0,0.5926,0.0152,0.0265
1.507,-7.6139,1.25,-0.0,0.6227,0.016,0.0266
1.557,-7.5929,1.25,-0.0,0.6422,0.0165,0.0267
1.607,-7.5614,1.25,-0.0,0.6723,0.0173,0.0269
1.658,-7.5404,1.25,-0.0,0.7039,0.0182,0.027
1.708,-7.5194,1.25,-0.0,0.725,0.0187,0.0271
1.758,-7.4879,1.25,-0.0,0.7565,0.0196,0.0272
1.808,-7.4669,1.25,-0.0,0.7731,0.02,0.0273
1.858,-7.4354,1.25,-0.0,0.8032,0.0209,0.0274
1.909,-7.4144,1.25,0.0,0.8227,0.0214,0.0275
1.959,-7.3934,1.25,0.0,0.8528,0.0222,0.0276
2.009,-7.3619,1.25,0.0,0.8738,0.0228,0.0277
2.059,-7.3409,1.25,0.0,0.9038,0.0236,0.0278
2.11,-7.3199,1.25,0.0,0.9249,0.0242,0.0279
2.16,-7.2884,1.25,0.0,0.9564,0.0251,0.028
2.21,-7.2674,1.25,0.0,0.973,0.0256,0.028
2.26,-7.2359,1.25,0.0,1.003,0.0264,0.0281
2.31,-7.2149,1.25,0.0,1.024,0.027,0.0282
2.36,-7.1939,1.25,0.0,1.054,0.0278,0.0283
2.411,-7.1624,1.25,0.0,1.0735,0.0284,0.0284
2.461,-7.1414,1.25,0.0,1.1036,0.0293,0.0285
2.511,-7.1099,1.25,0.0,1.1246,0.0298,0.0286
2.561,-7.0889,1.25,0.0,1.1561,0.0308,0.0287
2.611,-7.0679,1.25,0.0,1.1771,0.0314,0.0288
2.662,-7.0364,1.25,-0.0,1.2042,0.0321,0.0289
2.712,-7.0154,1.25,-0.0,1.2237,0.0327,0.029
2.763,-6.9839,1.25,-0.0,1.2537,0.0336,0.0291
2.813,-6.9629,1.25,-0.0,1.2732,0.0341,0.0292
2.863,-6.9419,1.25,-0.0,1.3032,0.035,0.0293
2.914,-6.9104,1.25,-0.0,1.3287,0.0358,0.0294
2.964,-6.8894,1.25,0.0,1.3557,0.0366,0.0295
3.014,-6.8579,1.25,0.0,1.3767,0.0372,0.0296
3.064,-6.8369,1.25,0.0,1.4037,0.038,0.0297
3.115,-6.8159,1.25,0.0,1.4232,0.0386,0.0297
3.165,-6.7844,1.25,0.0,1.4532,0.0395,0.0299
3.215,-6.7634,1.25,0.0,1.4742,0.0401,0.0299
3.265,-6.7424,1.25,0.0,1.5042,0.041,0.03
3.315,-6.7109,1.25,0.0,1.5237,0.0416,0.0301
3.366,-6.6899,1.25,0.0,1.5552,0.0425,0.0302
3.416,-6.6584,1.25,0.0,1.5762,0.0432,0.0303
3.466,-6.6374,1.25,0.0,1.6032,0.044,0.0304
3.516,-6.6164,1.25,0.0,1.6332,0.0449,0.0305
3.566,-6.5849,1.25,0.0,1.6542,0.0455,0.0306
3.617,-6.5639,1.25,0.0,1.6737,0.0461,0.0307
3.667,-6.5324,1.25,0.0,1.7037,0.047,0.0308
3.717,-6.5114,1.25,0.0,1.7232,0.0476,0.0308
3.767,-6.4904,1.25,0.0,1.7547,0.0486,0.0309
3.817,-6.4589,1.25,-0.0,1.7861,0.0496,0.0311
3.868,-6.4379,1.25,-0.0,1.8071,0.0502,0.0311
3.918,-6.4064,1.25,-0.0,1.8237,0.0508,0.0312
3.968,-6.3854,1.25,-0.0,1.8536,0.0517,0.0313
4.018,-6.3644,1.25,-0.0,1.8881,0.0528,0.0315
4.069,-6.3329,1.25,0.0,1.9031,0.0533,0.0316
4.119,-6.3119,1.25,0.0,1.9331,0.0542,0.0316
4.169,-6.2909,1.25,0.0,1.9541,0.0549,0.0317
4.22,-6.2594,1.25,0.0,1.9751,0.0555,0.0318
4.27,-6.2384,1.25,0.0,2.0066,0.0565,0.0319
4.32,-6.2069,1.25,0.0,2.0336,0.0574,0.032
4.37,-6.1859,1.25,0.0,2.0531,0.058,0.032
4.421,-6.1649,1.25,0.0,2.083,0.059,0.0322
4.471,-6.1334,1.25,0.0,2.104,0.0597,0.0322
4.521,-6.1124,1.25,0.0,2.134,0.0606,0.0323
4.572,-6.0809,1.25,0.0,2.1535,0.0613,0.0325
4.622,-6.0599,1.25,0.0,2.185,0.0623,0.0326
4.672,-6.0389,1.25,0.0,2.206,0.063,0.0327
4.722,-6.0074,1.25,0.0,2.233,0.0639,0.0328
4.772,-5.9864,1.25,0.0,2.254,0.0645,0.0328
4.823,-5.9549,1.25,0.0,2.284,0.0655,0.0329
4.873,-5.9339,1.25,0.0,2.3034,0.0662,0.033
4.923,-5.9129,1.25,0.0,2.3334,0.0672,0.0331
4.973,-5.8814,1.25,0.0,2.3529,0.0678,0.0332
5.023,-5.8604,1.25,0.0,2.3844,0.0689,0.0333
5.074,-5.8289,1.25,0.0,2.4054,0.0696,0.0334
5.124,-5.8079,1.25,0.0,2.4369,0.0706,0.0335
5.174,-5.7869,1.25,0.0,2.4534,0.0712,0.0335
5.224,-5.7554,1.25,0.0,2.4834,0.0722,0.0336
5.274,-5.7344,1.25,0.0,2.5028,0.0728,0.0337
5.325,-5.7029,1.25,0.0,2.5328,0.0738,0.0339
5.375,-5.6819,1.25,0.0,2.5538,0.0746,0.0339
5.425,-5.6609,1.25,0.0,2.5838,0.0756,0.034
5.475,-5.6294,1.25,0.0,2.6048,0.0763,0.0341
5.525,-5.6084,1.25,0.0,2.6363,0.0774,0.0342
5.576,-5.5874,1.25,0.0,2.6528,0.0779,0.0343
5.626,-5.5559,1.25,0.0,2.6827,0.079,0.0344
5.676,-5.5349,1.25,0.0,2.7037,0.0797,0.0345
5.727,-5.5034,1.25,0.0,2.7337,0.0807,0.0346
5.777,-5.4824,1.25,0.0,2.7532,0.0814,0.0347
5.827,-5.4614,1.25,0.0,2.7832,0.0824,0.0348
5.878,-5.4299,1.25,0.0,2.8042,0.0832,0.0349
5.928,-5.4089,1.25,0.0,2.8357,0.0843,0.035
5.978,-5.3774,1.25,0.0,2.8626,0.0852,0.0351
6.029,-5.3564,1.25,0.0,2.8836,0.0859,0.0352
6.079,-5.3354,1.25,0.0,2.9031,0.0866,0.0353
6.13,-5.3039,1.25,0.0,2.9331,0.0877,0.0354
6.18,-5.2829,1.25,0.0,2.9631,0.0888,0.0355
6.23,-5.2514,1.25,0.0,2.9826,0.0894,0.0356
6.28,-5.2304,1.25,0.0,3.014,0.0906,0.0357
6.331,-5.2094,1.25,0.0,3.035,0.0913,0.0358
6.381,-5.1779,1.25,0.0,3.0665,0.0924,0.0359
6.431,-5.1569,1.25,0.0,3.083,0.093,0.036
6.481,-5.1254,1.25,0.0,3.113,0.0941,0.0362
6.531,-5.1044,1.25,0.0,3.1325,0.0948,0.0363
6.582,-5.0834,1.25,0.0,3.1625,0.0959,0.0364
6.632,-5.0519,1.25,0.0,3.1834,0.0967,0.0365
6.682,-5.0309,1.25,0.0,3.2134,0.0978,0.0366
6.732,-4.9994,1.25,0.0,3.2344,0.0985,0.0367
6.782,-4.9784,1.25,0.0,3.2659,0.0997,0.0368
6.832,-4.9574,1.25,0.0,3.2824,0.1003,0.0368
6.883,-4.9259,1.25,0.0,3.3124,0.1014,0.0369
6.933,-4.9049,1.25,0.0,3.3333,0.1022,0.037
6.983,-4.8734,1.25,0.0,3.3633,0.1033,0.0371
7.033,-4.8524,1.25,0.0,3.3828,0.104,0.0372
7.083,-4.8314,1.25,0.0,3.4128,0.1051,0.0373
7.134,-4.7999,1.25,0.0,3.4338,0.1059,0.0374
7.184,-4.7789,1.25,0.0,3.4652,0.1071,0.0375
7.234,-4.7579,1.25,0.0,3.4862,0.1079,0.0375
7.285,-4.7264,1.25,0.0,3.5132,0.1089,0.0377
7.335,-4.7054,1.25,0.0,3.5327,0.1096,0.0377
7.385,-4.6739,1.25,0.0,3.5627,0.1108,0.0378
7.436,-4.6529,1.25,0.0,3.5822,0.1115,0.0379
7.486,-4.6319,1.25,0.0,3.6121,0.1126,0.038
7.536,-4.6004,1.25,0.0,3.6331,0.1134,0.0381
7.586,-4.5794,1.25,0.0,3.6646,0.1146,0.0382
7.637,-4.5479,1.25,0.0,3.6856,0.1155,0.0383
7.687,-4.5269,1.25,0.0,3.7126,0.1165,0.0384
7.737,-4.5059,1.25,0.0,3.7321,0.1172,0.0384
7.788,-4.4744,1.25,0.0,3.762,0.1184,0.0386
7.838,-4.4534,1.25,0.0,3.792,0.1195,0.0387
7.888,-4.4219,1.25,0.0,3.813,0.1204,0.0388
7.938,-4.4009,1.25,0.0,3.8325,0.1211,0.0389
7.989,-4.3799,1.25,0.0,3.864,0.1223,0.039
8.039,-4.3484,1.25,0.0,3.8954,0.1236,0.0391
8.09,-4.3274,1.25,0.0,3.9119,0.1242,0.0392
8.14,-4.2959,1.25,0.0,3.9419,0.1254,0.0393
8.19,-4.2749,1.25,0.0,3.9629,0.1262,0.0393
8.24,-4.2539,1.25,0.0,3.9929,0.1274,0.0395
8.29,-4.2224,1.25,0.0,4.0123,0.1282,0.0396
8.341,-4.2014,1.25,0.0,4.0423,0.1294,0.0397
8.391,-4.1699,1.25,0.0,4.0633,0.1302,0.0397
8.441,-4.1489,1.25,0.0,4.0948,0.1314,0.0399
8.491,-4.1279,1.25,0.0,4.1158,0.1323,0.04
8.541,-4.0964,1.25,0.0,4.1427,0.1334,0.0401
8.592,-4.0754,1.25,0.0,4.1622,0.1341,0.0402
8.642,-4.0439,1.25,0.0,4.1922,0.1354,0.0403
8.692,-4.0229,1.25,0.0,4.2117,0.1361,0.0404
8.742,-4.0019,1.25,0.0,4.2417,0.1374,0.0405
