t,truth_x,truth_y,truth_yaw,est_x,est_y,est_yaw
0.001,-8.234,1.5611,-1.6192,7.3366,-2.0212,5.9091
0.051,-8.234,1.5611,-1.615,7.3369,-2.0213,5.9217
0.101,-8.2341,1.5594,-1.593,7.339,-2.0221,5.9469
0.151,-8.2341,1.5533,-1.5553,7.3459,-2.0243,5.9847
0.202,-8.2339,1.5477,-1.5303,7.3519,-2.0261,6.0099
0.252,-8.2334,1.5392,-1.4933,7.3611,-2.0285,6.0477
0.302,-8.2328,1.5333,-1.4689,7.3672,-2.0299,6.0729
0.352,-8.232,1.5273,-1.4447,7.3734,-2.0311,6.0981
0.403,-8.2305,1.5181,-1.4083,7.3827,-2.0327,6.1359
0.453,-8.2293,1.5117,-1.3839,7.3889,-2.0335,6.1611
0.503,-8.228,1.5051,-1.3594,7.3952,-2.0342,6.1863
0.553,-8.2256,1.4949,-1.322,7.4046,-2.035,6.2241
0.603,-8.2238,1.4881,-1.2968,7.4109,-2.0352,6.2493
0.654,-8.2207,1.478,-1.259,7.4204,-2.0354,-6.2793
0.704,-8.2185,1.4713,-1.2338,7.4267,-2.0353,-6.2541
0.754,-8.2161,1.4647,-1.2086,7.433,-2.035,-6.2289
0.805,-8.2121,1.4548,-1.1708,7.4424,-2.0343,-6.1911
0.855,-8.2093,1.4484,-1.1456,7.4486,-2.0337,-6.1659
0.905,-8.2048,1.4388,-1.1078,7.458,-2.0324,-6.1281
0.955,-8.2016,1.4325,-1.0826,7.4642,-2.0313,-6.1029
1.005,-8.1982,1.4263,-1.0574,7.4704,-2.0301,-6.0777
1.056,-8.1928,1.4172,-1.0196,7.4796,-2.028,-6.0399
1.106,-8.1892,1.4113,-0.9944,7.4857,-2.0264,-6.0147
1.156,-8.1836,1.4025,-0.9566,7.4948,-2.0238,-5.9769
1.206,-8.1798,1.3968,-0.9317,7.5008,-2.0218,-5.9517
1.257,-8.1761,1.3913,-0.907,7.5067,-2.0197,-5.9265
1.307,-8.1705,1.3834,-0.8706,7.5155,-2.0162,-5.8887
1.357,-8.1667,1.3783,-0.8467,7.5213,-2.0137,-5.8635
1.408,-8.1606,1.3709,-0.8114,7.5298,-2.0097,-5.8257
1.458,-8.1563,1.3662,-0.7881,7.5357,-2.0067,-5.8005
1.508,-8.1515,1.3615,-0.7645,7.5418,-2.0034,-5.7753
1.558,-8.1439,1.3544,-0.7283,7.5515,-1.9977,-5.7375
1.609,-8.1384,1.3496,-0.7038,7.5582,-1.9936,-5.7123
1.659,-8.1293,1.3422,-0.666,7.5688,-1.9865,-5.6745
1.709,-8.1228,1.3372,-0.6409,7.5761,-1.9812,-5.6493
1.76,-8.1157,1.3321,-0.6157,7.5837,-1.9755,-5.6241
1.81,-8.1042,1.3242,-0.578,7.5954,-1.9661,-5.5863
1.86,-8.096,1.319,-0.5528,7.6034,-1.9592,-5.5611
1.911,-8.0872,1.3136,-0.5276,7.6115,-1.9518,-5.5359
1.961,-8.0731,1.3057,-0.4898,7.624,-1.9399,-5.4981
2.011,-8.0632,1.3004,-0.4645,7.6323,-1.9313,-5.4729
2.061,-8.0471,1.2924,-0.4266,7.6451,-1.9174,-5.4351
2.111,-8.0358,1.287,-0.4012,7.6536,-1.9075,-5.4099
2.162,-8.0239,1.2816,-0.3757,7.6622,-1.8969,-5.3847
2.212,-8.005,1.2739,-0.3374,7.6751,-1.8801,-5.3469
2.262,-7.9917,1.269,-0.3122,7.6836,-1.8682,-5.3225
2.312,-7.9701,1.2623,-0.276,7.6964,-1.8493,-5.2896
2.363,-7.955,1.2582,-0.2531,7.7048,-1.836,-5.2696
