t,truth_x,truth_y,truth_yaw,est_x,est_y,est_yaw
0.0,-8.064,2.3205,-1.7421,0.0,0.0,0.0
0.05,-8.0641,2.3205,-1.7386,0.0,0.0,0.0
0.101,-8.0643,2.3191,-1.7163,0.0,0.0,0.0
0.151,-8.065,2.3152,-1.6792,0.0,0.0,0.0
0.201,-8.0654,2.3124,-1.6549,0.0,0.0,0.0
0.252,-8.0657,2.3094,-1.6311,0.0,0.0,0.0
0.304,-8.0659,2.3046,-1.5965,0.0,0.0,0.0
0.354,-8.0659,2.3013,-1.5738,0.0,0.0,0.0
0.404,-8.0659,2.2965,-1.5401,0.0,0.0,0.0
0.455,-8.0657,2.2934,-1.5179,0.0,0.0,0.0
0.505,-8.0655,2.2902,-1.4957,0.0,0.0,0.0
0.555,-8.0651,2.2855,-1.4624,0.0,0.0,0.0
0.605,-8.0647,2.2824,-1.4402,0.0,0.0,0.0
0.656,-8.0643,2.2793,-1.418,0.0,0.0,0.0
0.706,-8.0638,2.2762,-1.3957,0.024,0.0,0.1898
0.757,-8.0629,2.2715,-1.3624,0.028,0.0006,0.2201
0.807,-8.0622,2.2684,-1.3402,0.0315,0.0014,0.249
0.858,-8.0615,2.2654,-1.318,0.0356,0.0025,0.2833
0.908,-8.0606,2.2623,-1.2958,0.0389,0.0035,0.3103
0.958,-8.0593,2.2578,-1.2625,0.0401,0.0039,0.3211
1.008,-8.0583,2.2548,-1.2403,0.0446,0.0055,0.3589
1.059,-8.0572,2.2519,-1.2181,0.0475,0.0066,0.3841
1.109,-8.0561,2.2489,-1.1959,0.0519,0.0084,0.4219
1.16,-8.0543,2.2445,-1.1626,0.0548,0.0097,0.4471
1.21,-8.053,2.2417,-1.1404,0.059,0.0118,0.4849
1.26,-8.0517,2.2388,-1.1182,0.0618,0.0133,0.5101
1.312,-8.0503,2.236,-1.096,0.0646,0.0149,0.5353
1.362,-8.0481,2.2318,-1.0626,0.0673,0.0165,0.5605
1.412,-8.0465,2.2291,-1.0404,0.0699,0.0182,0.5857
1.463,-8.0449,2.2264,-1.0182,0.0726,0.02,0.6109
1.513,-8.0432,2.2237,-0.996,0.0764,0.0228,0.6487
1.564,-8.0415,2.2211,-0.9738,0.0789,0.0247,0.6739
1.614,-8.0387,2.2172,-0.9405,0.0814,0.0267,0.6991
1.665,-8.0369,2.2147,-0.9183,0.085,0.0298,0.7369
1.715,-8.0339,2.211,-0.885,0.0873,0.0319,0.7621
1.765,-8.0319,2.2086,-0.8627,0.0907,0.0353,0.7999
1.817,-8.0297,2.206,-0.8404,0.093,0.0377,0.8251
