t,truth_x,truth_y,truth_yaw,est_x,est_y,est_yaw
0.0,-8.1099,2.2885,-1.7027,0.0,0.0,0.0234
0.05,-8.1099,2.2885,-1.7011,0.0,0.0,0.0308
0.101,-8.1103,2.2861,-1.6683,0.0021,0.0001,0.0653
0.151,-8.1108,2.282,-1.6431,0.0047,0.0004,0.0833
0.201,-8.1112,2.2764,-1.6179,0.0118,0.0012,0.1194
0.251,-8.1115,2.2675,-1.58,0.019,0.0022,0.1502
0.301,-8.1115,2.2614,-1.5547,0.0279,0.0037,0.1865
0.352,-8.1112,2.252,-1.5167,0.0337,0.0048,0.21
0.402,-8.1107,2.2455,-1.4914,0.0426,0.0068,0.2463
0.452,-8.1101,2.2389,-1.4662,0.0484,0.0083,0.2697
0.502,-8.1088,2.2288,-1.4285,0.0559,0.0104,0.3003
0.552,-8.1077,2.222,-1.4037,0.0633,0.0128,0.3305
0.603,-8.1058,2.2118,-1.3667,0.0719,0.0159,0.3658
0.653,-8.1044,2.2051,-1.3422,0.0774,0.018,0.3886
0.703,-8.1029,2.1984,-1.3179,0.0858,0.0216,0.4232
0.753,-8.1004,2.1887,-1.2823,0.0904,0.0236,0.4419
0.803,-8.0987,2.1825,-1.259,0.099,0.0278,0.4769
0.854,-8.0967,2.1764,-1.2362,0.105,0.031,0.5012
0.904,-8.0935,2.1675,-1.2028,0.1129,0.0354,0.533
0.954,-8.0911,2.1616,-1.1806,0.118,0.0384,0.5537
1.004,-8.0874,2.1529,-1.1473,0.1257,0.0433,0.5856
1.054,-8.0848,2.1472,-1.1251,0.1294,0.0458,0.6016
1.105,-8.082,2.1416,-1.1029,0.1369,0.051,0.6334
1.155,-8.0776,2.1332,-1.0696,0.143,0.0556,0.6605
1.205,-8.0745,2.1277,-1.0474,0.1501,0.0612,0.6925
1.255,-8.0697,2.1196,-1.0141,0.1546,0.065,0.7132
1.306,-8.0663,2.1143,-0.9918,0.1614,0.071,0.7451
1.356,-8.0628,2.109,-0.9696,0.1647,0.074,0.761
1.406,-8.0573,2.1013,-0.9363,0.1712,0.0803,0.7928
1.456,-8.0535,2.0963,-0.9141,0.1766,0.0859,0.82
1.506,-8.0476,2.0889,-0.8808,0.1827,0.0925,0.8518
1.557,-8.0435,2.084,-0.8584,0.1865,0.097,0.8727
1.607,-8.0392,2.0791,-0.8359,0.1925,0.1045,0.9052
1.657,-8.0321,2.0714,-0.8015,0.1962,0.1092,0.925
