t,truth_x,truth_y,truth_yaw,est_x,est_y,est_yaw
0.0,-8.25,1.25,0.0,-0.0,0.0,-0.0
0.051,-8.2498,1.25,0.0,0.0002,-0.0,-0.0
0.101,-8.2477,1.25,-0.0,0.0023,-0.0,-0.0
0.151,-8.2407,1.25,-0.0,0.0093,-0.0,-0.0
0.202,-8.2334,1.25,-0.0,0.0166,-0.0,0.0
0.252,-8.2239,1.25,-0.0,0.0261,0.0,0.0
0.302,-8.2082,1.25,-0.0,0.0418,0.0,0.0
0.352,-8.1977,1.25,-0.0,0.0523,0.0,0.0
0.403,-8.1819,1.25,-0.0,0.0681,0.0,0.0
0.453,-8.1714,1.25,-0.0,0.0786,0.0,0.0
0.504,-8.1609,1.25,-0.0,0.0891,0.0,0.0
0.554,-8.1452,1.25,-0.0,0.1048,0.0,0.0
0.605,-8.1347,1.25,-0.0,0.1153,0.0,0.0
0.655,-8.1189,1.25,-0.0,0.1311,0.0,0.0
0.705,-8.1084,1.25,-0.0,0.1416,0.0,0.0
0.755,-8.0979,1.25,-0.0,0.1521,0.0,0.0
0.806,-8.0822,1.25,-0.0,0.1678,0.0,0.0
0.856,-8.0717,1.25,-0.0,0.1783,0.0,0.0
0.906,-8.0559,1.25,-0.0,0.1941,0.0,0.0
0.957,-8.0454,1.25,-0.0,0.2046,0.0,0.0
1.007,-8.0349,1.25,-0.0,0.2151,0.0,0.0
1.057,-8.0192,1.25,-0.0,0.2308,0.0,0.0
1.108,-8.0087,1.25,-0.0,0.2413,0.0,0.0
1.158,-7.9929,1.25,-0.0,0.2571,0.0,0.0
1.208,-7.9824,1.25,0.0,0.2676,0.0,0.0
1.259,-7.9719,1.25,0.0,0.2781,0.0,0.0
1.309,-7.9562,1.25,0.0,0.2938,0.0,0.0
1.359,-7.9457,1.25,0.0,0.3043,0.0,0.0
1.41,-7.9299,1.25,0.0,0.3148,0.0,0.0
1.46,-7.9194,1.25,0.0,0.3306,0.0,0.0
1.51,-7.9089,1.25,0.0,0.3411,0.0,0.0
1.561,-7.8932,1.25,0.0,0.3568,0.0,0.0
1.611,-7.8827,1.25,0.0,0.3673,0.0,0.0
1.661,-7.8669,1.25,0.0,0.3831,0.0,0.0
1.711,-7.8564,1.25,0.0,0.3936,0.0,0.0
1.762,-7.8459,1.25,0.0,0.4041,0.0,0.0
1.813,-7.8302,1.25,0.0,0.4198,0.0,0.0
1.864,-7.8197,1.25,0.0,0.4303,0.0,0.0
1.914,-7.8092,1.25,0.0,0.4408,0.0,0.0
1.964,-7.7934,1.25,0.0,0.4566,0.0,-0.0
2.015,-7.7829,1.25,0.0,0.4671,0.0,-0.0
2.065,-7.7672,1.25,0.0,0.4828,0.0,-0.0
2.115,-7.7567,1.25,0.0,0.4933,0.0,-0.0
2.166,-7.7462,1.25,0.0,0.5038,0.0,-0.0
2.216,-7.7304,1.25,0.0,0.5196,0.0,-0.0
2.266,-7.7199,1.25,0.0,0.5301,0.0,-0.0
2.317,-7.7042,1.25,0.0,0.5458,0.0,-0.0
2.368,-7.6937,1.25,0.0,0.5563,0.0,-0.0
2.418,-7.6779,1.25,0.0,0.5721,0.0,-0.0
2.469,-7.6674,1.25,0.0,0.5826,0.0,-0.0
2.519,-7.6569,1.25,0.0,0.5931,0.0,-0.0
2.569,-7.6412,1.25,0.0,0.6088,0.0,-0.0
2.62,-7.6307,1.25,0.0,0.6193,0.0,-0.0
2.67,-7.6202,1.25,-0.0,0.6298,0.0,-0.0
2.72,-7.6044,1.25,-0.0,0.6456,0.0,-0.0
2.77,-7.5939,1.25,-0.0,0.6561,0.0,-0.0
2.821,-7.5782,1.25,-0.0,0.6718,0.0,-0.0
2.871,-7.5677,1.25,-0.0,0.6823,0.0,-0.0
2.921,-7.5572,1.25,-0.0,0.6928,0.0,-0.0
2.972,-7.5414,1.25,-0.0,0.7086,0.0,-0.0
3.022,-7.5309,1.25,-0.0,0.7191,0.0,-0.0
3.073,-7.5204,1.25,-0.0,0.7296,0.0,-0.0
3.123,-7.5047,1.25,-0.0,0.7453,-0.0,-0.0
3.173,-7.4942,1.25,-0.0,0.7558,-0.0,-0.0
3.223,-7.4784,1.25,-0.0,0.7716,-0.0,-0.0
3.274,-7.4679,1.25,-0.0,0.7821,-0.0,-0.0
3.324,-7.4574,1.25,0.0,0.7926,-0.0,-0.0
3.374,-7.4417,1.25,0.0,0.8083,-0.0,-0.0
3.425,-7.4312,1.25,0.0,0.8188,-0.0,-0.0
3.475,-7.4154,1.25,0.0,0.8346,-0.0,-0.0
3.525,-7.4049,1.25,0.0,0.8451,-0.0,-0.0
3.576,-7.3944,1.25,0.0,0.8556,-0.0,-0.0
